ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Kidney, Renal Cell Carcinoma, B cell	Kidney, Renal Cell Carcinoma, B cell	48/92	162/5648	7.418809521182836e-52	5.41573095046347e-50	4.3731929809077765e-50	BANK1/FCRL1/CD19/POU2AF1/FCRLA/TNFRSF13C/PAX5/MS4A1/CD79A/FCER2/VPREB3/CD22/CD79B/CD37/ST6GAL1/ADAM28/RALGPS2/CD69/LY9/ATP2B1/RAB30/TMEM154/ORAI2/SMIM14/RASGRP2/KLF2/CD52/FCMR/POU2F2/EAF2/ANKRD13A/RRAS2/RASGRP3/SYPL1/CD83/JCHAIN/MEF2C/TPD52/PARP15/MGAT5/RCSD1/P2RX5/SNX29/BLK/GPR18/TAGAP/QRSL1/STAG3	48
Kidney, Normal, B cell	Kidney, Normal, B cell	53/92	379/5648	2.630958140744294e-39	9.602997213716672e-38	7.754402941141076e-38	BANK1/FCRL1/CD19/POU2AF1/FCRLA/TNFRSF13C/PAX5/MS4A1/CD79A/FCER2/VPREB3/IGHM/CD22/CD79B/CD37/ST6GAL1/ADAM28/RALGPS2/LY9/LAPTM5/ATP2B1/RAB30/TMEM154/PLPP5/CHPT1/RHOH/ORAI2/SMIM14/CENPM/CD52/FCMR/POU2F2/ANKRD13A/ZCCHC7/TAF1D/RASGRP3/SYPL1/CD83/SP140L/JCHAIN/TMEM156/MEF2C/TPD52/PARP14/RCSD1/USP8/P2RX5/SNX29/BLK/SMCHD1/CCNB1IP1/QRSL1/STAG3	53
Lymph node, Normal, B cell	Lymph node, Normal, B cell	6/92	10/5648	3.1595593400480316e-9	7.688261060783544e-8	6.208256948866307e-8	CD19/POU2AF1/PAX5/MS4A1/FCER2/POU2F2	6
Peripheral blood, Normal, B cell	Peripheral blood, Normal, B cell	5/92	13/5648	1.1937872526517821e-6	2.1786617360895025e-5	1.759265424960521e-5	CD19/MS4A1/CD79A/CD79B/CD37	5
Kidney, Renal Cell Carcinoma, Plasma cell	Kidney, Renal Cell Carcinoma, Plasma cell	4/92	10/5648	1.284954874659953e-5	1.8760341170035314e-4	1.514894168020155e-4	POU2AF1/TNFRSF13C/CD79A/JCHAIN	4
Peripheral blood, Normal, Monocyte	Peripheral blood, Normal, Monocyte	4/92	27/5648	8.685350206446157e-4	0.01056717608450949	0.008532975641420786	CD19/MS4A1/CD79A/CD22	4
Brain, Normal, Microglial cell	Brain, Normal, Microglial cell	3/92	13/5648	0.0010628693282695783	0.011084208709097031	0.00895047855384908	LAPTM5/KLF2/CD83	3
Umbilical cord blood, Normal, Multilymphoid progenitor cell	Umbilical cord blood, Normal, Multilymphoid progenitor cell	13/92	313/5648	0.0015275608678754695	0.013938992919363659	0.011255711658029775	FCRL1/CD79A/CD37/RHOH/POU2F2/STK4/VPS37B/PLEKHA2/NEIL1/TMEM156/MEF2C/JUND/TSC22D3	13
Embryonic prefrontal cortex, Normal, Microglial cell	Embryonic prefrontal cortex, Normal, Microglial cell	12/92	334/5648	0.007526203303844283	0.061045871242292514	0.04929443099593916	OTUD1/CD37/ADAM28/LAPTM5/KLF2/ELF1/CD83/RCSD1/TSC22D3/LAT2/POLD4/TAGAP	12
Esophagus, Normal, FGFR1LowNME5- epithelial cell	Esophagus, Normal, FGFR1LowNME5- epithelial cell	3/92	28/5648	0.01020629648638333	0.07199443894184995	0.058135379679071335	CD69/LAPTM5/CD52	3
Blood, Normal, Eosinophil	Blood, Normal, Eosinophil	2/92	10/5648	0.010848477100826705	0.07199443894184995	0.058135379679071335	CD69/IL4R	2
Blood, Normal, Activated CD4+ T cell	Blood, Normal, Activated CD4+ T cell	2/92	11/5648	0.013119722764532703	0.07981164681757394	0.0644477609485817	CD19/CD69	2
Brain, Normal, Lake et al.Science.Ex8	Brain, Normal, Lake et al.Science.Ex8	2/92	14/5648	0.021030772943566	0.11809587883694753	0.0953622092987608	ANKRD13A/MGAT5	2
Liver, Normal, Endothelial cell	Liver, Normal, Endothelial cell	3/92	41/5648	0.02854851743086606	0.13893611816354814	0.11219066499147362	RASGRP3/MEF2C/MGAT5	3
Peripheral blood, Normal, Regulatory T (Treg) cell	Peripheral blood, Normal, Regulatory T (Treg) cell	3/92	41/5648	0.02854851743086606	0.13893611816354814	0.11219066499147362	ATP2B1/CD52/FCMR	3
Peripheral blood, Normal, Myeloid-derived suppressor cell	Peripheral blood, Normal, Myeloid-derived suppressor cell	2/92	18/5648	0.03390440724813997	0.1546888580696386	0.12491097407209462	CD69/CD52	2
Esophagus, Normal, Secretory progenitor cell	Esophagus, Normal, Secretory progenitor cell	2/92	19/5648	0.037498444982686105	0.1610227343374168	0.13002556774182178	ADAM28/USP6NL	2
Kidney, Normal, Mast cell	Kidney, Normal, Mast cell	2/92	40/5648	0.13772194921211953	0.4004901695109512	0.3233950900160528	CD69/RHOH	2
Blood, Normal, Myeloid dendritic cell	Blood, Normal, Myeloid dendritic cell	1/92	10/5648	0.15156587327637006	0.4004901695109512	0.3233950900160528	CD83	1
Bone marrow, Normal, Mesenchymal stem cell	Bone marrow, Normal, Mesenchymal stem cell	1/92	10/5648	0.15156587327637006	0.4004901695109512	0.3233950900160528	CD19	1
Intestine, Normal, Myeloid dendritic cell	Intestine, Normal, Myeloid dendritic cell	1/92	10/5648	0.15156587327637006	0.4004901695109512	0.3233950900160528	CD83	1
Liver, Normal, T helper cell	Liver, Normal, T helper cell	1/92	10/5648	0.15156587327637006	0.4004901695109512	0.3233950900160528	CD69	1
Lung, Normal, Myeloid dendritic cell	Lung, Normal, Myeloid dendritic cell	1/92	10/5648	0.15156587327637006	0.4004901695109512	0.3233950900160528	CD83	1
Skin, Normal, Myeloid dendritic cell	Skin, Normal, Myeloid dendritic cell	1/92	10/5648	0.15156587327637006	0.4004901695109512	0.3233950900160528	CD83	1
Stomach, Normal, Myeloid dendritic cell	Stomach, Normal, Myeloid dendritic cell	1/92	10/5648	0.15156587327637006	0.4004901695109512	0.3233950900160528	CD83	1
Bone marrow, Normal, Myeloid cell	Bone marrow, Normal, Myeloid cell	2/92	43/5648	0.15465842710434255	0.4004901695109512	0.3233950900160528	FCER2/CD69	2
Blood, Normal, AXL+SIGLEC6+ dendritic cell	Blood, Normal, AXL+SIGLEC6+ dendritic cell	2/92	44/5648	0.1603917223477121	0.4004901695109512	0.3233950900160528	CD72/CD22	2
Germ, Normal, Mesoderm cell	Germ, Normal, Mesoderm cell	1/92	11/5648	0.16541048832755345	0.4004901695109512	0.3233950900160528	CD72	1
Lung, Normal, Macrophage	Lung, Normal, Macrophage	1/92	11/5648	0.16541048832755345	0.4004901695109512	0.3233950900160528	CD83	1
Lung, Normal, Ionocyte cell	Lung, Normal, Ionocyte cell	4/92	135/5648	0.17717851213293914	0.4004901695109512	0.3233950900160528	EIF2AK3/TPD52/MGAT5/BCL2	4
Blood, Normal, CD1C-CD141- dendritic cell	Blood, Normal, CD1C-CD141- dendritic cell	6/92	233/5648	0.1784277709217999	0.4004901695109512	0.3233950900160528	CD79B/TMEM154/CD52/POU2F2/VASP/TSC22D3	6
Bone, Normal, Mesenchymal stem cell	Bone, Normal, Mesenchymal stem cell	1/92	13/5648	0.19243279249553402	0.4004901695109512	0.3233950900160528	CD19	1
Embryonic prefrontal cortex, Normal, Interneuron	Embryonic prefrontal cortex, Normal, Interneuron	1/92	13/5648	0.19243279249553402	0.4004901695109512	0.3233950900160528	MEF2C	1
Muscle, Normal, Mesenchymal stem cell	Muscle, Normal, Mesenchymal stem cell	1/92	13/5648	0.19243279249553402	0.4004901695109512	0.3233950900160528	CD19	1
Tendon, Normal, Mesenchymal stem cell	Tendon, Normal, Mesenchymal stem cell	1/92	13/5648	0.19243279249553402	0.4004901695109512	0.3233950900160528	CD19	1
Cartilage, Normal, Mesenchymal stem cell	Cartilage, Normal, Mesenchymal stem cell	1/92	14/5648	0.20561756323030056	0.4004901695109512	0.3233950900160528	CD19	1
Stomach, Normal, Pit progenitor cell	Stomach, Normal, Pit progenitor cell	1/92	14/5648	0.20561756323030056	0.4004901695109512	0.3233950900160528	BCL2	1
Fetal gonad, Normal, Granulosa cell	Fetal gonad, Normal, Granulosa cell	3/92	99/5648	0.21812673240254407	0.4004901695109512	0.3233950900160528	LAPTM5/ATP2B1/TSC22D3	3
Adipose tissue, Normal, Mesenchymal stem cell	Adipose tissue, Normal, Mesenchymal stem cell	1/92	15/5648	0.21858937440935877	0.4004901695109512	0.3233950900160528	CD19	1
Blood, Normal, CD141+CLEC9A+ dendritic cell	Blood, Normal, CD141+CLEC9A+ dendritic cell	2/92	54/5648	0.21944666822517872	0.4004901695109512	0.3233950900160528	ADAM28/CAMK2D	2
Bone marrow, Normal, Mesenchymal stromal cell	Bone marrow, Normal, Mesenchymal stromal cell	1/92	17/5648	0.24390767438697325	0.4342746397621719	0.3506759888490501	CD19	1
