ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050853	B cell receptor signaling pathway	15/90	49/6656	2.9922072927603987e-17	5.4996770040936126e-14	5.096201473354026e-14	BANK1/IGHD/CD19/MS4A1/CD79A/IGHM/IGLC3/CD22/CD79B/IGLC2/TRBC2/MEF2C/BLK/LAT2/BCL2	15
GO:0042113	B cell activation	21/90	190/6656	3.734344022058401e-14	3.4318621562716705e-11	3.1800887514160487e-11	BANK1/IGHD/FCRL1/CD19/POU2AF1/TNFRSF13C/PAX5/MS4A1/CD79A/IGHM/IGLC3/CD22/CD79B/IGLC2/LAPTM5/TRBC2/MEF2C/TPD52/BLK/LAT2/BCL2	21
GO:0006959	humoral immune response	14/90	80/6656	1.7669802679727915e-12	1.0825699108446634e-9	1.0031487977473604e-9	IGHD/POU2AF1/MS4A1/FCER2/IGHM/IGLC3/ST6GAL1/IGLC2/POU2F2/TRBC2/CD83/JCHAIN/MEF2C/BCL2	14
GO:0050851	antigen receptor-mediated signaling pathway	17/90	141/6656	3.30596637311336e-12	1.519091548445589e-9	1.407645682025636e-9	BANK1/IGHD/CD19/MS4A1/CD79A/IGHM/IGLC3/CD22/CD79B/IGLC2/LAPTM5/ELF1/TRBC2/MEF2C/BLK/LAT2/BCL2	17
GO:0002429	immune response-activating cell surface receptor signaling pathway	17/90	166/6656	4.758059679385239e-11	1.4575522817850114e-8	1.3506211510956695e-8	BANK1/IGHD/CD19/MS4A1/CD79A/IGHM/IGLC3/CD22/CD79B/IGLC2/LAPTM5/ELF1/TRBC2/MEF2C/BLK/LAT2/BCL2	17
GO:0002757	immune response-activating signal transduction	17/90	166/6656	4.758059679385239e-11	1.4575522817850114e-8	1.3506211510956695e-8	BANK1/IGHD/CD19/MS4A1/CD79A/IGHM/IGLC3/CD22/CD79B/IGLC2/LAPTM5/ELF1/TRBC2/MEF2C/BLK/LAT2/BCL2	17
GO:0002768	immune response-regulating cell surface receptor signaling pathway	17/90	177/6656	1.33068275548049e-10	3.493992720818772e-8	3.237661200552531e-8	BANK1/IGHD/CD19/MS4A1/CD79A/IGHM/IGLC3/CD22/CD79B/IGLC2/LAPTM5/ELF1/TRBC2/MEF2C/BLK/LAT2/BCL2	17
GO:0046649	lymphocyte activation	26/90	481/6656	4.120910930296694e-10	9.467792862356654e-8	8.773202480552698e-8	BANK1/IGHD/FCRL1/CD19/POU2AF1/TNFRSF13C/PAX5/MS4A1/CD79A/IGHM/IGLC3/CD22/CD79B/IGLC2/IL4R/LY9/LAPTM5/RHOH/TRBC2/CD83/MEF2C/TPD52/BLK/LAT2/GPR18/BCL2	26
GO:0050864	regulation of B cell activation	13/90	100/6656	5.687337630601141e-10	1.1614807294494331e-7	1.0762704428435844e-7	BANK1/IGHD/CD19/TNFRSF13C/IGHM/IGLC3/CD22/IGLC2/LAPTM5/TRBC2/MEF2C/BLK/BCL2	13
GO:0002253	activation of immune response	17/90	203/6656	1.1515383264431765e-9	2.1165274440025586e-7	1.9612515917737472e-7	BANK1/IGHD/CD19/MS4A1/CD79A/IGHM/IGLC3/CD22/CD79B/IGLC2/LAPTM5/ELF1/TRBC2/MEF2C/BLK/LAT2/BCL2	17
GO:0050778	positive regulation of immune response	19/90	303/6656	1.3919367638972203e-8	2.325799792766446e-6	2.1551709894600022e-6	BANK1/IGHD/CD19/MS4A1/CD79A/FCER2/IGHM/IGLC3/CD22/CD79B/IGLC2/IL4R/LAPTM5/ELF1/TRBC2/MEF2C/BLK/LAT2/BCL2	19
GO:0002764	immune response-regulating signaling pathway	17/90	263/6656	5.814298334757617e-8	8.905566949403749e-6	8.252223425998092e-6	BANK1/IGHD/CD19/MS4A1/CD79A/IGHM/IGLC3/CD22/CD79B/IGLC2/LAPTM5/ELF1/TRBC2/MEF2C/BLK/LAT2/BCL2	17
